Blender 2.82 (sub 7) (hash 375c7dc4caf4 built 2020-03-12 05:30:40)
found bundled python: /usr/local/blender/2.82/python
Read blend: /blender/scene.blend
Fra:1 Mem:78.46M (0.00M, Peak 78.46M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Synchronizing object | Cube
Fra:1 Mem:78.47M (0.00M, Peak 78.47M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Synchronizing object | Plane
Fra:1 Mem:78.47M (0.00M, Peak 78.47M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Initializing
Fra:1 Mem:78.28M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Waiting for render to start
Fra:1 Mem:78.30M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:78.30M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene
Fra:1 Mem:78.30M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Shaders
Fra:1 Mem:78.80M (0.00M, Peak 78.80M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Background
Fra:1 Mem:78.80M (0.00M, Peak 78.80M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Camera
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Meshes Flags
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects | Copying Transformations to device
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects | Applying Static Transformations
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Hair Systems
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Hair settings | Copying Hair settings to device
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Particle Systems
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Meshes
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Computing attributes
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh BVH Cube 1/1 | Building BVH
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh BVH Cube 1/1 | Packing BVH triangles and strands
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh BVH Cube 1/1 | Packing BVH nodes
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Building
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Building BVH
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Packing BVH triangles and strands
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Packing BVH nodes
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Computing normals
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects Flags
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Images
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Camera Volume
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Lookup Tables
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.26M, Peak:0.26M | Scene, View Layer | Updating Lights
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.26M, Peak:0.26M | Scene, View Layer | Updating Lights | Computing distribution
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.26M, Peak:0.26M | Scene, View Layer | Updating Integrator
Fra:1 Mem:80.08M (0.00M, Peak 80.08M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Film
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.28M, Peak:1.53M | Scene, View Layer | Updating Lookup Tables
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Baking
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory | Compiling render kernels
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:11.78 | Remaining:00:28.31 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 154/510 Tiles, Denoised 117 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:11.79 | Remaining:00:28.29 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 155/510 Tiles, Denoised 117 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:11.80 | Remaining:00:28.27 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 156/510 Tiles, Denoised 117 tiles
Fra:1 Mem:149.06M (0.00M, Peak 150.87M) | Time:00:11.96 | Remaining:00:28.58 | Mem:70.51M, Peak:72.17M | Scene, View Layer | Rendered 156/510 Tiles, Denoised 118 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:12.02 | Remaining:00:28.50 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 157/510 Tiles, Denoised 118 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:12.05 | Remaining:00:28.53 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 157/510 Tiles, Denoised 119 tiles
Fra:1 Mem:148.42M (0.00M, Peak 150.87M) | Time:00:12.06 | Remaining:00:28.51 | Mem:69.86M, Peak:72.17M | Scene, View Layer | Rendered 157/510 Tiles, Denoised 120 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:12.12 | Remaining:00:28.27 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 158/510 Tiles, Denoised 120 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:12.12 | Remaining:00:28.22 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 159/510 Tiles, Denoised 120 tiles
Fra:1 Mem:149.07M (0.00M, Peak 150.87M) | Time:00:12.31 | Remaining:00:28.60 | Mem:70.51M, Peak:72.17M | Scene, View Layer | Rendered 159/510 Tiles, Denoised 121 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:12.38 | Remaining:00:28.55 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 160/510 Tiles, Denoised 121 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:12.44 | Remaining:00:28.62 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 160/510 Tiles, Denoised 122 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:12.48 | Remaining:00:28.63 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 160/510 Tiles, Denoised 123 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:12.50 | Remaining:00:28.57 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 160/510 Tiles, Denoised 124 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:12.52 | Remaining:00:28.46 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 160/510 Tiles, Denoised 125 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:12.56 | Remaining:00:28.38 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 161/510 Tiles, Denoised 125 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:12.61 | Remaining:00:28.17 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 162/510 Tiles, Denoised 125 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:12.65 | Remaining:00:28.16 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 163/510 Tiles, Denoised 125 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:12.66 | Remaining:00:28.14 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 164/510 Tiles, Denoised 125 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:12.78 | Remaining:00:28.32 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 164/510 Tiles, Denoised 126 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:12.86 | Remaining:00:28.31 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 164/510 Tiles, Denoised 127 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:12.88 | Remaining:00:28.31 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 164/510 Tiles, Denoised 128 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:12.89 | Remaining:00:28.24 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 165/510 Tiles, Denoised 128 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:12.96 | Remaining:00:28.09 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 166/510 Tiles, Denoised 128 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:12.99 | Remaining:00:28.09 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 167/510 Tiles, Denoised 128 tiles
Fra:1 Mem:149.08M (0.00M, Peak 150.87M) | Time:00:13.13 | Remaining:00:28.35 | Mem:70.52M, Peak:72.17M | Scene, View Layer | Rendered 167/510 Tiles, Denoised 129 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:13.23 | Remaining:00:28.35 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 168/510 Tiles, Denoised 129 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:13.28 | Remaining:00:28.40 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 168/510 Tiles, Denoised 130 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:13.34 | Remaining:00:28.38 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 168/510 Tiles, Denoised 131 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:13.38 | Remaining:00:28.32 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 169/510 Tiles, Denoised 131 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:13.44 | Remaining:00:28.29 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 169/510 Tiles, Denoised 132 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:13.45 | Remaining:00:28.25 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 170/510 Tiles, Denoised 132 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:13.46 | Remaining:00:28.18 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 170/510 Tiles, Denoised 133 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:13.52 | Remaining:00:28.04 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 171/510 Tiles, Denoised 133 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:13.54 | Remaining:00:28.00 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 172/510 Tiles, Denoised 133 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:13.65 | Remaining:00:28.18 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 172/510 Tiles, Denoised 134 tiles
Fra:1 Mem:149.58M (0.00M, Peak 150.87M) | Time:00:13.72 | Remaining:00:28.11 | Mem:71.02M, Peak:72.17M | Scene, View Layer | Rendered 172/510 Tiles, Denoised 135 tiles
Fra:1 Mem:149.93M (0.00M, Peak 150.87M) | Time:00:13.74 | Remaining:00:28.09 | Mem:71.37M, Peak:72.17M | Scene, View Layer | Rendered 173/510 Tiles, Denoised 135 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:13.78 | Remaining:00:28.02 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 173/510 Tiles, Denoised 136 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:13.80 | Remaining:00:27.92 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 174/510 Tiles, Denoised 136 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:13.84 | Remaining:00:27.86 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 175/510 Tiles, Denoised 136 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:14.00 | Remaining:00:28.12 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 175/510 Tiles, Denoised 137 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:14.06 | Remaining:00:28.04 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 176/510 Tiles, Denoised 137 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:14.15 | Remaining:00:28.18 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 176/510 Tiles, Denoised 138 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:14.21 | Remaining:00:28.10 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 177/510 Tiles, Denoised 138 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:14.25 | Remaining:00:28.13 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 177/510 Tiles, Denoised 139 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:14.28 | Remaining:00:28.05 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 177/510 Tiles, Denoised 140 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:14.32 | Remaining:00:27.96 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 178/510 Tiles, Denoised 140 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:14.34 | Remaining:00:27.86 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 179/510 Tiles, Denoised 140 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:14.36 | Remaining:00:27.85 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 179/510 Tiles, Denoised 141 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:14.41 | Remaining:00:27.75 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 180/510 Tiles, Denoised 141 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:14.51 | Remaining:00:27.88 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 180/510 Tiles, Denoised 142 tiles
Fra:1 Mem:148.57M (0.00M, Peak 150.87M) | Time:00:14.59 | Remaining:00:28.01 | Mem:70.01M, Peak:72.17M | Scene, View Layer | Rendered 180/510 Tiles, Denoised 143 tiles
Fra:1 Mem:148.42M (0.00M, Peak 150.87M) | Time:00:14.62 | Remaining:00:27.96 | Mem:69.87M, Peak:72.17M | Scene, View Layer | Rendered 180/510 Tiles, Denoised 144 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:14.65 | Remaining:00:27.77 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 181/510 Tiles, Denoised 144 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:14.68 | Remaining:00:27.69 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 182/510 Tiles, Denoised 144 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:14.71 | Remaining:00:27.60 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 183/510 Tiles, Denoised 144 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:14.82 | Remaining:00:27.75 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 183/510 Tiles, Denoised 145 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:14.88 | Remaining:00:27.67 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 184/510 Tiles, Denoised 145 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:14.92 | Remaining:00:27.71 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 184/510 Tiles, Denoised 146 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:14.98 | Remaining:00:27.63 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 185/510 Tiles, Denoised 146 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:14.99 | Remaining:00:27.60 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 185/510 Tiles, Denoised 147 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:15.02 | Remaining:00:27.55 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 185/510 Tiles, Denoised 148 tiles
Fra:1 Mem:149.56M (0.00M, Peak 150.87M) | Time:00:15.04 | Remaining:00:27.45 | Mem:71.01M, Peak:72.17M | Scene, View Layer | Rendered 186/510 Tiles, Denoised 148 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:15.09 | Remaining:00:27.35 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 187/510 Tiles, Denoised 148 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:15.12 | Remaining:00:27.35 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 187/510 Tiles, Denoised 149 tiles
Fra:1 Mem:148.56M (0.00M, Peak 150.87M) | Time:00:15.18 | Remaining:00:27.28 | Mem:70.01M, Peak:72.17M | Scene, View Layer | Rendered 187/510 Tiles, Denoised 150 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:15.20 | Remaining:00:27.26 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 188/510 Tiles, Denoised 150 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:15.25 | Remaining:00:27.18 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 189/510 Tiles, Denoised 150 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:15.33 | Remaining:00:27.26 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 189/510 Tiles, Denoised 151 tiles
Fra:1 Mem:149.57M (0.00M, Peak 150.87M) | Time:00:15.39 | Remaining:00:27.19 | Mem:71.01M, Peak:72.17M | Scene, View Layer | Rendered 190/510 Tiles, Denoised 151 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:15.46 | Remaining:00:27.26 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 190/510 Tiles, Denoised 152 tiles
Fra:1 Mem:149.58M (0.00M, Peak 150.87M) | Time:00:15.57 | Remaining:00:27.27 | Mem:71.02M, Peak:72.17M | Scene, View Layer | Rendered 191/510 Tiles, Denoised 152 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:15.63 | Remaining:00:27.33 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 191/510 Tiles, Denoised 153 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:15.73 | Remaining:00:27.34 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 191/510 Tiles, Denoised 154 tiles
Fra:1 Mem:149.58M (0.00M, Peak 150.87M) | Time:00:15.75 | Remaining:00:27.30 | Mem:71.02M, Peak:72.17M | Scene, View Layer | Rendered 192/510 Tiles, Denoised 154 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:15.84 | Remaining:00:27.28 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 192/510 Tiles, Denoised 155 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:15.84 | Remaining:00:27.23 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 193/510 Tiles, Denoised 155 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:15.84 | Remaining:00:27.19 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 193/510 Tiles, Denoised 156 tiles
Fra:1 Mem:149.08M (0.00M, Peak 150.87M) | Time:00:15.93 | Remaining:00:27.02 | Mem:70.52M, Peak:72.17M | Scene, View Layer | Rendered 193/510 Tiles, Denoised 157 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:15.96 | Remaining:00:27.02 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 194/510 Tiles, Denoised 157 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:15.96 | Remaining:00:26.98 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 195/510 Tiles, Denoised 157 tiles
Fra:1 Mem:149.08M (0.00M, Peak 150.87M) | Time:00:16.02 | Remaining:00:26.94 | Mem:70.52M, Peak:72.17M | Scene, View Layer | Rendered 195/510 Tiles, Denoised 158 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:16.06 | Remaining:00:26.87 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 196/510 Tiles, Denoised 158 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:16.14 | Remaining:00:26.85 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 197/510 Tiles, Denoised 158 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:16.14 | Remaining:00:26.82 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 197/510 Tiles, Denoised 159 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:16.26 | Remaining:00:26.83 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 198/510 Tiles, Denoised 159 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:16.39 | Remaining:00:27.01 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 198/510 Tiles, Denoised 160 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:16.54 | Remaining:00:27.07 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 199/510 Tiles, Denoised 160 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:16.65 | Remaining:00:27.22 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 199/510 Tiles, Denoised 161 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:16.69 | Remaining:00:27.22 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 199/510 Tiles, Denoised 162 tiles
Fra:1 Mem:149.58M (0.00M, Peak 150.87M) | Time:00:16.77 | Remaining:00:27.05 | Mem:71.02M, Peak:72.17M | Scene, View Layer | Rendered 200/510 Tiles, Denoised 162 tiles
Fra:1 Mem:150.08M (0.00M, Peak 150.87M) | Time:00:16.78 | Remaining:00:27.02 | Mem:71.52M, Peak:72.17M | Scene, View Layer | Rendered 201/510 Tiles, Denoised 162 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:16.85 | Remaining:00:26.90 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 201/510 Tiles, Denoised 163 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:16.86 | Remaining:00:26.91 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 202/510 Tiles, Denoised 163 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:16.88 | Remaining:00:26.91 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 202/510 Tiles, Denoised 164 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:16.94 | Remaining:00:26.82 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 203/510 Tiles, Denoised 164 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:16.98 | Remaining:00:26.84 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 203/510 Tiles, Denoised 165 tiles
Fra:1 Mem:150.08M (0.00M, Peak 150.87M) | Time:00:17.04 | Remaining:00:26.76 | Mem:71.52M, Peak:72.17M | Scene, View Layer | Rendered 204/510 Tiles, Denoised 165 tiles
Fra:1 Mem:149.22M (0.00M, Peak 150.87M) | Time:00:17.05 | Remaining:00:26.74 | Mem:70.67M, Peak:72.17M | Scene, View Layer | Rendered 204/510 Tiles, Denoised 166 tiles
